organization_name,participants_COP28,participants_COP29,participants_total,is_insurance,website_url,search_method,content_source,processing_status,error_message,processed_at
Presidential Court,1324,1,1325,False,https://en.wikipedia.org/wiki/Presidential_Court,wikipedia,wikipedia,completed,,2025-07-30T12:15:41.883650
World Bank Group,272,250,522,False,https://en.wikipedia.org/wiki/World_Bank_Group,wikipedia,wikipedia,completed,,2025-07-30T12:15:41.884600
University Climate Network,437,0,437,False,https://en.wikipedia.org/wiki/Climate_Heritage_Network,wikipedia,wikipedia,completed,,2025-07-30T12:15:41.885491
Riyadh,377,30,407,False,https://en.wikipedia.org/wiki/Riyadh,wikipedia,wikipedia,completed,,2025-07-30T12:15:41.886308
Ministry of Foreign Affairs,324,38,362,False,https://en.wikipedia.org/wiki/Ministry_of_foreign_affairs,wikipedia,wikipedia,completed,,2025-07-30T12:15:41.887073
U.S. Department of State,142,81,223,False,https://en.wikipedia.org/wiki/United_States_Department_of_State,wikipedia,wikipedia,completed,,2025-07-30T12:15:41.888339
Jordan,132,66,198,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Jordan,2025-07-30T12:15:41.890512
COP28,176,6,182,False,https://www.cop28.com/en/,bing,website,completed,,2025-07-30T12:15:41.891767
UNICEF,80,82,162,False,https://en.wikipedia.org/wiki/UNICEF,wikipedia,wikipedia,completed,,2025-07-30T12:15:41.892865
Asian Development Bank,71,88,159,False,https://en.wikipedia.org/wiki/Asian_Development_Bank,wikipedia,wikipedia,completed,,2025-07-30T12:15:41.893941
United Nations Development Programme,66,91,157,False,https://en.wikipedia.org/wiki/United_Nations_Development_Programme,wikipedia,wikipedia,completed,,2025-07-30T12:15:43.860900
Department for Energy Security and Net Zero,60,86,146,False,https://en.wikipedia.org/wiki/Department_for_Energy_Security_and_Net_Zero,wikipedia,wikipedia,completed,,2025-07-30T12:15:46.159838
United Nations,83,62,145,False,https://en.wikipedia.org/wiki/United_Nations,wikipedia,wikipedia,completed,,2025-07-30T12:15:49.074993
WWF,82,56,138,False,https://en.wikipedia.org/wiki/WWE,wikipedia_fallback,wikipedia,completed,,2025-07-30T12:15:53.201499
African Union Commission,83,53,136,False,https://en.wikipedia.org/wiki/African_Union_Commission,wikipedia,wikipedia,completed,,2025-07-30T12:15:55.320843
Ministry of Environment and Forestry,94,35,129,False,https://en.wikipedia.org/wiki/Ministry_of_Forestry_(Indonesia),wikipedia,wikipedia,completed,,2025-07-30T12:15:56.766238
Univeristy Climate Network,123,0,123,False,https://www.climate-uni.com/,bing,website,completed,,2025-07-30T12:16:01.410427
Boston Consulting Group,92,20,112,False,https://en.wikipedia.org/wiki/Boston_Consulting_Group,wikipedia,wikipedia,completed,,2025-07-30T12:16:02.993571
Islamic Development Bank,70,37,107,False,https://en.wikipedia.org/wiki/Islamic_Development_Bank,wikipedia,wikipedia,completed,,2025-07-30T12:16:05.559166
Masdar,74,30,104,False,https://en.wikipedia.org/wiki/Masdar,wikipedia,wikipedia,completed,,2025-07-30T12:16:07.876716
Tsinghua University,47,55,102,False,https://en.wikipedia.org/wiki/Tsinghua_University,wikipedia,wikipedia,completed,,2025-07-30T12:16:10.455141
ICLEI-Local Governments for Sustainability,55,45,100,False,https://iclei.org/,bing,website,completed,,2025-07-30T12:16:15.461649
GCCM,44,51,95,False,https://en.wikipedia.org/wiki/Change_management,wikipedia_fallback,wikipedia,completed,,2025-07-30T12:16:17.737904
International Organization for Migration,27,68,95,False,https://en.wikipedia.org/wiki/International_Organization_for_Migration,wikipedia,wikipedia,completed,,2025-07-30T12:16:20.128671
European Commission,64,28,92,False,https://en.wikipedia.org/wiki/European_Commission,wikipedia,wikipedia,completed,,2025-07-30T12:16:23.148913
Food and Agriculture Organization of the United Nations,50,41,91,False,https://en.wikipedia.org/wiki/Food_and_Agriculture_Organization,wikipedia,wikipedia,completed,,2025-07-30T12:16:24.887196
KSA,57,34,91,False,https://www.welcometo-ksa.com/,bing,website,completed,,2025-07-30T12:16:28.890825
World Resources Institute,59,32,91,False,https://en.wikipedia.org/wiki/World_Resources_Institute,wikipedia,wikipedia,completed,,2025-07-30T12:16:30.267380
FCDO,50,38,88,False,"https://en.wikipedia.org/wiki/Foreign,_Commonwealth_and_Development_Office",wikipedia_fallback,wikipedia,completed,,2025-07-30T12:16:32.585604
YOUNGO,77,9,86,False,https://youngoclimate.org/,bing,website,completed,,2025-07-30T12:16:36.893928
African Development Bank Group,53,32,85,False,https://en.wikipedia.org/wiki/African_Development_Bank,wikipedia,wikipedia,completed,,2025-07-30T12:16:39.224726
International Renewable Energy Agency,65,20,85,False,https://en.wikipedia.org/wiki/International_Renewable_Energy_Agency,wikipedia,wikipedia,completed,,2025-07-30T12:16:41.181870
OFFICE OF H H sheikha Fatima Bint Mubarak,85,0,85,False,https://en.wikipedia.org/wiki/Hamdan_bin_Zayed_bin_Sultan_Al_Nahyan,wikipedia_fallback,wikipedia,completed,,2025-07-30T12:16:43.559521
Climate Champions,79,4,83,False,https://www.climatechampions.net/,bing,website,completed,,2025-07-30T12:16:48.809784
